UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
420825,50578,58400,89.55,67,22807,45,1441,01-01-84,Salaried,03-08-18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
537409,47145,65550,73.23,67,22807,45,1502,31-07-85,Self employed,26-09-18,6,1998,1,1,0,0,0,0,598,I-Medium Risk,1,1,1,27600,50200,50200,0,0,0,0,0,0,1991,0,0,1,1yrs 11mon,1yrs 11mon,0,1
417566,53278,61360,89.63,67,22807,45,1497,24-08-85,Self employed,01-08-18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
624493,57513,66113,88.48,67,22807,45,1501,30-12-93,Self employed,26-10-18,6,1998,1,1,0,0,0,0,305,L-Very High Risk,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0yrs 8mon,1yrs 3mon,1,1
539055,52378,60300,88.39,67,22807,45,1495,09-12-77,Self employed,26-09-18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,1
518279,54513,61900,89.66,67,22807,45,1501,08-09-90,Self employed,19-09-18,6,1998,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,1yrs 9mon,2yrs 0mon,0,0
529269,46349,61500,76.42,67,22807,45,1502,01-06-88,Salaried,23-09-18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
510278,43894,61900,71.89,67,22807,45,1501,04-10-89,Salaried,16-09-18,6,1998,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,72879,74500,74500,0,0,0,0,0,0,0,0,0,0,0yrs 2mon,0yrs 2mon,0,0
490213,53713,61973,89.56,67,22807,45,1497,15-11-91,Self employed,05-09-18,6,1998,1,1,0,0,0,0,718,D-Very Low Risk,1,1,0,-41,365384,365384,0,0,0,0,0,0,0,0,0,0,4yrs 8mon,4yrs 8mon,1,0
510980,52603,61300,86.95,67,22807,45,1492,01-06-68,Salaried,16-09-18,6,1998,1,0,0,1,0,0,818,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2608,0,0,0,1yrs 7mon,1yrs 7mon,0,0
548567,53278,61230,89.83,67,22807,45,1493,01-01-79,Self employed,29-09-18,6,1998,1,1,0,0,0,0,300,M-Very High Risk,1,0,0,0,0,0,0,0,0,0,0,0,2270,0,0,0,0yrs 7mon,0yrs 7mon,0,1
486821,64769,74190,89.23,67,22807,45,1446,07-09-84,Salaried,03-09-18,6,1998,1,1,0,0,0,0,786,B-Very Low Risk,3,2,0,676,36154,23374,0,0,0,0,0,0,0,0,0,0,2yrs 1mon,2yrs 3mon,1,0
478647,53278,61330,89.68,67,22807,45,1497,01-06-74,Salaried,30-08-18,6,1998,1,0,0,1,0,0,300,M-Very High Risk,7,2,1,0,69900,69900,0,0,0,0,0,0,3300,0,0,0,1yrs 3mon,2yrs 9mon,0,1
479533,49478,57010,89.46,67,22807,45,1497,16-08-84,Salaried,30-08-18,6,1998,1,1,0,0,0,0,738,C-Very Low Risk,10,5,0,79750,187000,187000,0,0,0,0,0,0,23309,0,1,0,1yrs 0mon,2yrs 1mon,4,1
483869,49278,57080,89.35,67,22807,45,1495,18-02-73,Self employed,31-08-18,6,1998,1,1,0,0,0,0,300,M-Very High Risk,5,5,3,95597,179252,179252,0,0,0,0,0,0,3514,0,0,0,3yrs 11mon,7yrs 2mon,0,1
600655,47549,61400,79.8,67,22807,45,1440,05-07-94,Salaried,22-10-18,6,1998,1,0,0,1,0,0,17,Not Scored: Not Enough Info available on the customer,1,0,0,0,0,0,0,0,0,0,0,0,7900,0,1,0,0yrs 1mon,0yrs 1mon,0,1
513916,57713,65750,89.28,67,22807,45,1440,01-06-76,Self employed,18-09-18,6,1998,1,1,0,0,0,0,300,M-Very High Risk,6,4,2,29069,1067200,1067200,0,0,0,0,0,0,47100,0,1,1,2yrs 6mon,5yrs 6mon,0,0
522020,53503,62100,87.28,67,22807,45,1498,27-02-83,Self employed,20-09-18,6,1998,1,1,0,0,0,0,688,E-Low Risk,13,8,0,1076657,2277048,2277048,0,0,0,0,0,0,4982,0,1,0,1yrs 10mon,4yrs 7mon,0,0
